지역,병원명,주소,위도,경도
강원,이앤신소아청소년과,Chuncheon,37.8550549,127.7503148
강원,지화영 소아청소년과,"Chuncheon-si, Anmasan-ro, 109 KR 2층",37.8538956,127.7294407
강원,우리소아과의원,885-2 석사동 Chuncheon-si,37.8525694,127.7457197
강원,누누베베소아과,"707-35 Udu-dong, Chuncheon-si",37.8993968,127.7324974
강원,김경희소아과의원,807-3 석사동 Chuncheon-si,37.8564022,127.739859
강원,후평하나소아과의원,704-22 후평1동 Chuncheon-si,37.8824547,127.7478019
강원,한빛소아의원,Weonju,37.3839638,127.9519912
강원,김대철소아과의원,퇴계동 891-2번지 춘천시 강원도 KR,37.85936400000001,127.7238504
강원,개성소아과,"983-2 Gyo-dong, Sokcho-si",38.19521,128.5771839
강원,윤화준소아과의원,880-4 석사동 Chuncheon-si,37.8512362,127.7439699
강원,이호영소아과의원,"47 Cheonghak-ro, Sokcho-si",38.2023481,128.582683
강원,까르르하나소아청소년과,"Chuncheon-si, Hupyeong-dong, 번지 3층 704-22 KR",37.8824837,127.7476951
강원,🏥 Hana Internal Medicine Clinic,"704-22 Hupyeong-dong, Chuncheon-si",37.8824824,127.7478019
강원,키즈메디소아청소년과의원,Hongcheon,37.688036,127.881656
강원,사랑나무소아청소년,"84 Bangsong-gil, Chuncheon-si",37.8685947,127.7179719
강원,다람쥐키즈치과,"Wonju-si, 신 Jijeong-myeon, Jijeong-ro, 322 탑프라자 5층",37.3825706,127.8723115
강원,햇살따뜻한의원,온의동 511번지 5층 이마트 춘천시 강원도 KR,37.8637455,127.718073
충북,서울소아청소년과의원,"644-1 Gao-dong, Dong-gu",36.3064741,127.4567359
충북,꿈꾸는 김선생 의원,"322 Nambu-daero, Dongnam-gu, Cheonan-si",36.7813782,127.1527046
충북,정소아과의원,"182-2 Eomsa-ri, Eomsa-myeon, Gyeryong-si",36.289139,127.242368
충북,이영두소아과의원,"140-11 사창동 Heungdeok-gu, Cheongju-si",36.6350456,127.4583101
충북,미소소아청소년과,"Cheongju-si, Heungdeok-gu, Daenong-ro, 48, LK Tower Building, 303호",36.6416776,127.4276044
충북,이혜영소아과,"1229 성정2동 Seobuk-gu, Cheonan-si",36.82837749999999,127.1334194
충북,별소아청소년과의원,"Eumseong-gun, Maengdong-myeon, Wonjung-ro, 1438 402호",36.9096913,127.5406453
충북,도안키즈소아청소년과의원,"8-2 Sangdae-dong, Yuseong District",36.34599499999999,127.3394405
충북,이청소년소아과의원,Cheongju,36.6207983,127.5154161
충북,임소아과의원,"68-22 Banwol-dong, Nonsan-si",36.2053408,127.0855242
충북,숙이소아과,"298-3 Pyeongtaek-dong, Pyeongtaek-si",36.9912251,127.0888471
충북,송수호소아과,"67-7 Banwol-dong, Nonsan-si",36.2052575,127.0849131
충북,길태환소아청소년과의원,"30 Saedeul 2-gil, Dong-gu",36.3261657,127.4426929
충북,이진석소아청소년과의원,"Cheongju-si, Sannam-dong, 502 KR",36.6115466,127.4699328
충북,우리청소년소아과,"Cheongju-si, Sangdang-gu, Seongan-dong, 2 36°37'52. 127°28'06.0""E",36.63117099999999,127.468343
충북,키즈하임소아청소년과의원,"Pyeongtaek-si, Pyeongnam-ro, 941 우성메디피아",37.0046559,127.1041912
충북,Tori Children and Adolescent Clinic,"Seo-gu, Cheongsa-ro, 130 프라자 401호",36.35947,127.3783153
충북,이문숙소아과의원,"540 Wolpyeong-dong, Seo-gu",36.3578829,127.3641601
충북,참좋은 소아청소년과,"610-3 Seokbong-dong, Daedeok-gu",36.4493719,127.4197849
충북,다정소아청소년과의원,"109 Dajeongbuk-ro, Sejong-si",36.4975342,127.242648
충남,꿈꾸는 김선생 의원,"322 Nambu-daero, Dongnam-gu, Cheonan-si",36.7813782,127.1527046
충남,정소아과의원,"182-2 Eomsa-ri, Eomsa-myeon, Gyeryong-si",36.289139,127.242368
충남,이혜영소아과,"1229 성정2동 Seobuk-gu, Cheonan-si",36.82837749999999,127.1334194
충남,도안키즈소아청소년과의원,"8-2 Sangdae-dong, Yuseong District",36.34599499999999,127.3394405
충남,임소아과의원,"68-22 Banwol-dong, Nonsan-si",36.2053408,127.0855242
충남,송수호소아과,"67-7 Banwol-dong, Nonsan-si",36.2052575,127.0849131
충남,나무어린이병원,"101 Bodeum 3-ro, Sejong-si",36.5113568,127.2484743
충남,다정소아청소년과의원,"109 Dajeongbuk-ro, Sejong-si",36.4975342,127.242648
충남,엔젤소아청소년과,26 신관동 Gongju-si,36.4740594,127.1411783
충남,잎소아청소년과의원,"262 Gongsu-ri, Baebang-eup, Asan-si",36.7720516,127.0552941
충남,아이힐소아청소년과의원,"Cheonan-si, Seobuk-gu, Seongjeong-dong, 1533번지 7호 8층",36.8261067,127.138368
충남,이삭소아청소년과의원,"세종시 한누리대로 169 301, 307호",36.4801753,127.2617288
충남,연세소아과,"2 Sijang-gil 25beon-gil, Asan-si",36.7832746,127.0039398
충남,김종인소아청소년과의원,"174 Chungmu-ro, Seobuk-gu, Cheonan-si",36.794133,127.1267223
충남,웰키즈소아청소년과,"Asan-si, 풍기동 229-20번지 1층",36.7737019,127.0158703
충남,서산별빛소아청소년과의원,Sosan,36.7735212,126.4386374
충남,청담소아청소년과의원,"2 Beonyeong-ro 234beon-gil, Asan-si",36.78363,127.016499
충남,세림소아청소년과의원,"Yuseong District, Hakhaseo-ro 20beon-gil, 21 2층",36.3422811,127.303692
충남,한서소아과의원,1402 관저2동 Seo-gu,36.29802859999999,127.3409695
충남,세종소아청소년과의원,"Sejong-si, Hannuri-daero, 157 금강프라자 405호",36.4793341,127.2624978
전북,김소아과의원,"811-5 Inhu-dong 1(il)-ga, Deokjin-gu, Jeonju-si",35.8318869,127.1582493
전북,해맑은소아과의원,"1543-1 Soryong-dong, Gunsan-si",35.9695567,126.684291
전북,해맑은소아청소년과의원,Gunsan,35.9644493,126.7324931
전북,한나소아과의원,"1275-10 Deokjin-dong 1(il)-ga, Deokjin-gu, Jeonju-si",35.8429132,127.1243986
전북,이홍철소아과의원,Jeonju,35.8261933,127.165721
