요양기관명,시도코드명,시군구코드명,좌표(X),좌표(Y),주소,좌표(X)_round,좌표(Y)_round
강윤종소아청소년과의원,제주특별자치도,제주시,126.5722097,33.5206296,,126.5722,33.5206
강인한소아청소년과의원,서울특별시,은평구,126.8932295,37.5864629,,126.8932,37.5865
강지혜소아청소년과의원,서울특별시,송파구,127.146426,37.4984957,,127.1464,37.4985
강천식소아청소년과의원,경기도,안양동안구,126.933756,37.4048276,,126.9338,37.4048
강태훈소아청소년과의원,경상남도,통영시,128.4283654,34.8517526,,128.4284,34.8518
강한아이소아청소년과의원,대구광역시,대구수성구,128.6240481,35.8464452,,128.624,35.8464
강훈소아청소년과의원,강원특별자치도,원주시,127.9816785,37.3234174,,127.9817,37.3234
개구장이소아치과치과의원,경기도,의정부시,127.0491817,37.7262629,,127.0492,37.7263
개구쟁이소아청소년과의원,울산광역시,울산북구,129.3343358,35.6332344,,129.3343,35.6332
개금신세계소아청소년과의원,부산광역시,부산진구,129.0207464,35.1474388,,129.0207,35.1474
개나리소아청소년과병원,부산광역시,부산강서구,128.92243,35.0981159,,128.9224,35.0981
개성소아청소년과의원,강원특별자치도,속초시,128.5772842,38.1952331,,128.5773,38.1952
거제아동 소아청소년과의원,경상남도,거제시,128.6221057,34.8898098,,128.6221,34.8898
건강한내과와튼튼한소아청소년과의원,대구광역시,대구북구,128.5810123,35.8811532,,128.581,35.8812
건강한소아과의원,경상북도,구미시,128.3030654,36.2400835,,128.3031,36.2401
건강한연합소아청소년과의원,대구광역시,대구북구,128.5827607,35.9519586,,128.5828,35.952
건강해소아청소년과의원,제주특별자치도,제주시,126.535115,33.4847205,,126.5351,33.4847
경대아이키움소아청소년과의원,대구광역시,대구수성구,128.6116218,35.8596794,,128.6116,35.8597
경소아청소년과의원,대전광역시,대전대덕구,127.4309506,36.3691448,,127.431,36.3691
경주엄마손소아치과의원,경상북도,경주시,129.2210425,35.8826476,,129.221,35.8826
경혜신소아과의원,경기도,안산단원구,126.8371186,37.3244241,,126.8371,37.3244
경희궁튼튼소아청소년과의원,서울특별시,종로구,126.9638824,37.5708754,,126.9639,37.5709
경희아이들한방소아과한의원,경기도,화성시,127.1241078,37.1826885,,127.1241,37.1827
고덕바른소아청소년과의원,경기도,평택시,127.0315337,37.0385834,,127.0315,37.0386
고덕성심소아청소년과의원,서울특별시,강동구,127.1681333,37.5564806,,127.1681,37.5565
고덕아이온소아치과치과의원,서울특별시,강동구,127.1701747,37.5577308,,127.1702,37.5577
고덕연세365소아청소년과의원,서울특별시,강동구,127.165596,37.5509309,,127.1656,37.5509
고릴라소아치과의원,경기도,과천시,126.9912599,37.421204,,126.9913,37.4212
고만성소아과의원,서울특별시,강남구,127.0756013,37.4926645,,127.0756,37.4927
고운누리소아청소년과의원,서울특별시,강동구,127.1733282,37.5717707,,127.1733,37.5718
고운맘소아청소년과의원,서울특별시,송파구,127.1178428,37.491762,,127.1178,37.4918
